Planetas	x	errx	y	erry
Mercurio	5,78E+13	5,47E+10	1,94E+32	1,01E+25
Venus	3,77E+14	1,40E+11	1,27E+33	3,51E+25
Tierra	9,96E+14	2,27E+11	3,35E+33	6,71E+25
Marte	1,40E+16	4,27E+11	1,18E+34	1,55E+26
Jupiter	1,40E+17	2,69E+12	4,72E+35	1,82E+27
Saturno	8,63E+17	6,69E+12	2,95E+36	6,16E+27
Urano	7,08E+17	1,92E+13	2,38E+37	2,48E+28
Neptuno	2,70E+19	3,74E+13	9,13E+37	6,08E+28
