Planetas	x	errx	y	erry
Mercurio	5,776E+13	5E+10	1,9419607E+32	1E+25
Venus	3,769E+14	1E+11	1,26703703E+33	4E+25
Tierra	9,959E+14	2E+11	3,34795518E+33	7E+25
Marte	1,39963E+16	4E+11	1,17578013E+34	2E+26
Jupiter	1,39963E+17	3E+12	4,71905285E+35	2E+27
Saturno	8,63035E+17	7E+12	2,94541893E+36	6E+27
Urano	7,0810E+17	2E+13	2,38053322E+37	2E+28
Neptuno	2,704430E+19	4E+13	9,13343625E+37	6E+28
